time,S_t,C1,C2,C3,C4,target
0.0,-0.11292557572868644,1,0,0,0,0.0
0.001,-0.2597241597194876,1,0,0,0,0.006283143965558951
0.002,0.40614898769260327,1,0,0,0,0.012566039883352607
0.003,0.04990421351547204,1,0,0,0,0.018848439715408175
0.004,-0.3423185877322644,1,0,0,0,0.02513009544333748
0.005,0.009178517110994155,1,0,0,0,0.03141075907812829
0.006,0.15997124965411957,1,0,0,0,0.03769018266993454
0.007,0.8847877386146002,1,0,0,0,0.0439681183178649
0.008,0.09653192588109351,1,0,0,0,0.050244318179769556
0.009000000000000001,0.2697884543630571,1,0,0,0,0.056518534482024534
0.01,0.48959952679859964,1,0,0,0,0.06279051952931337
0.011,0.21870136696645812,1,0,0,0,0.06906002571440578
0.012,0.0724875267172227,1,0,0,0,0.07532680552793272
0.013000000000000001,0.7079787394642861,1,0,0,0,0.08159061156815756
0.014,0.03268193253405917,1,0,0,0,0.08785119655074317
0.015,-0.1050986001236911,1,0,0,0,0.09410831331851431
0.016,0.8486939126683155,1,0,0,0,0.1003617148512149
0.017,0.3936567088008227,1,0,0,0,0.10661115427525991
0.018000000000000002,0.016329709835050776,1,0,0,0,0.1128563848734817
0.019,-0.12328701359662086,1,0,0,0,0.11909716009486973
0.02,0.3241583656676717,1,0,0,0,0.12533323356430426
0.021,0.4980177876170276,1,0,0,0,0.1315643590922825
0.022,0.3093297693077449,1,0,0,0,0.13779029068463805
0.023,0.1335677162033186,1,0,0,0,0.14401078255225216
0.024,0.11556884231838883,1,0,0,0,0.15022558912075706
0.025,0.1348949001954644,1,0,0,0,0.15643446504023087
0.026000000000000002,0.6228883398401325,1,0,0,0,0.1626371651948836
0.027,0.09532872068903997,1,0,0,0,0.16883344471273387
0.028,0.12854914959539043,1,0,0,0,0.17502305897527604
0.029,0.44433121668330466,1,0,0,0,0.18120576362713736
0.03,0.7467165504255285,1,0,0,0,0.1873813145857246
0.031,0.7998624251228931,1,0,0,0,0.19354946805086023
0.032,0.5225373959505346,1,0,0,0,0.19970998051440703
0.033,0.8310860881547671,1,0,0,0,0.20586260876988133
0.034,0.2082145845265326,1,0,0,0,0.21200710992205465
0.035,0.5432869392225144,1,0,0,0,0.21814324139654256
0.036000000000000004,0.31751477037340653,1,0,0,0,0.2242707609493812
0.037,0.6472196947024955,1,0,0,0,0.23038942667659057
0.038,0.3458127520109023,1,0,0,0,0.23649899702372468
0.039,0.10968845422250777,1,0,0,0,0.2425992307954074
0.04,0.7813756778553177,1,0,0,0,0.2486898871648548
0.041,0.5197340432528637,1,0,0,0,0.25477072568338216
0.042,0.6741878746156752,1,0,0,0,0.26084150628989694
0.043000000000000003,0.7118465304745412,1,0,0,0,0.26690198932037557
0.044,0.192343163138665,1,0,0,0,0.27295193551732516
0.045,0.39345682914279745,1,0,0,0,0.2789911060392293
0.046,0.8094714025021164,1,0,0,0,0.2850192624699761
0.047,0.5870982260434303,1,0,0,0,0.2910361668282718
0.048,0.3526530155584595,1,0,0,0,0.2970415815770349
0.049,0.46995451268860955,1,0,0,0,0.30303526963277394
0.05,0.348643408069611,1,0,0,0,0.3090169943749474
0.051000000000000004,0.4719560527648311,1,0,0,0,0.3149865196553048
0.052000000000000005,0.48687544462208776,1,0,0,0,0.32094360980720954
0.053,0.3054381610217546,1,0,0,0,0.32688802965494246
0.054,0.5741918366519169,1,0,0,0,0.3328195445229866
0.055,0.6667816079610153,1,0,0,0,0.33873792024529137
0.056,0.4902933528546234,1,0,0,0,0.34464292317451706
0.057,0.8048606684488823,1,0,0,0,0.350534320191259
0.058,0.7299648754718255,1,0,0,0,0.35641187871325075
0.059000000000000004,0.29364915352413157,1,0,0,0,0.3622753667045457
0.06,0.8847572780446001,1,0,0,0,0.3681245526846779
0.061,0.5590820365495506,1,0,0,0,0.3739592057378004
0.062,0.38817531674868083,1,0,0,0,0.37977909552180106
0.063,0.3029024821081538,1,0,0,0,0.38558399227739654
0.064,0.5614921208152406,1,0,0,0,0.3913736668372024
0.065,0.8182556618592636,1,0,0,0,0.3971478906347806
0.066,0.07532320609992547,1,0,0,0,0.40290643571366264
0.067,0.3495919861860235,1,0,0,0,0.40864907473634904
0.068,0.6315989629759625,1,0,0,0,0.41437558099328414
0.069,0.057444220271913565,1,0,0,0,0.42008572841180625
0.07,0.36014766419959476,1,0,0,0,0.4257792915650727
0.07100000000000001,0.5050094695889024,1,0,0,0,0.431456045680959
0.07200000000000001,0.44038894432980075,1,0,0,0,0.43711576665093294
0.073,0.8007683733472883,1,0,0,0,0.4427582310389015
0.074,0.23174014019313455,1,0,0,0,0.44838321609003223
0.075,0.3203132408857259,1,0,0,0,0.4539904997395468
0.076,0.46926105603320833,1,0,0,0,0.45957986062148787
0.077,0.3191847777945498,1,0,0,0,0.4651510780774583
0.078,0.5621507390783308,1,0,0,0,0.4707039321653325
0.079,0.2997616867689086,1,0,0,0,0.47623820366793906
0.08,0.2211871235422959,1,0,0,0,0.4817536741017153
0.081,0.7256795201915749,1,0,0,0,0.4872501257253323
0.082,0.22048096405966086,1,0,0,0,0.49272734154829156
0.083,0.16803277372131115,1,0,0,0,0.4981851053394908
0.084,0.17830548945959945,1,0,0,0,0.5036232016357608
0.085,-0.07111896651354946,1,0,0,0,0.5090414157503713
0.08600000000000001,0.6054561566589323,1,0,0,0,0.5144395337815064
0.08700000000000001,0.20085641212792638,1,0,0,0,0.5198173426207096
0.088,0.07637295037606334,1,0,0,0,0.5251746299612956
0.089,0.24491293036338402,1,0,0,0,0.530511184306734
0.09,0.06958446484908754,1,0,0,0,0.5358267949789967
0.091,0.09298936201814424,1,0,0,0,0.5411212521268758
0.092,0.1282471866976406,1,0,0,0,0.5463943467342691
0.093,0.3171349178003422,1,0,0,0,0.5516458706284302
0.094,0.37770340032593797,1,0,0,0,0.556875616488188
0.095,0.019410987578374284,1,0,0,0,0.5620833778521306
0.096,0.03561811879653182,1,0,0,0,0.5672689491267565
0.097,0.14060642075779162,1,0,0,0,0.5724321255945909
0.098,0.2855137456179594,1,0,0,0,0.5775727034222676
0.099,0.4047132805324467,1,0,0,0,0.5826904796685761
0.1,0.06862256517220147,1,0,0,0,0.5877852522924731
0.101,0.49489865779543396,1,0,0,0,0.5928568201610592
0.10200000000000001,-0.2722707088762497,1,0,0,0,0.5979049830575188
0.10300000000000001,0.45013803320164214,1,0,0,0,0.6029295416890247
0.10400000000000001,0.06342676779948245,1,0,0,0,0.6079302976946055
0.105,-0.1304537737723348,1,0,0,0,0.6129070536529764
0.106,-0.03314954439745588,1,0,0,0,0.6178596130903343
0.107,0.3547273298086118,1,0,0,0,0.6227877804881126
0.108,0.07830924691361649,1,0,0,0,0.6276913612907005
0.109,-0.31954140771433087,1,0,0,0,0.6325701619131244
0.11,0.6339533543293345,1,0,0,0,0.6374239897486896
0.111,0.2079973478692656,1,0,0,0,0.6422526531765844
0.112,-0.3925260268142867,1,0,0,0,0.6470559615694442
0.113,0.42058328453063193,1,0,0,0,0.6518337253008788
0.114,0.09761639907628045,1,0,0,0,0.6565857557529565
0.115,0.07235520255303901,1,0,0,0,0.6613118653236518
0.116,0.17331379413270923,1,0,0,0,0.6660118674342517
0.117,0.20283839522439015,1,0,0,0,0.67068557653672
0.11800000000000001,-0.32014675100808676,1,0,0,0,0.6753328081210245
0.11900000000000001,-0.06330601786109023,1,0,0,0,0.6799533787224192
0.12,-0.21039479792018256,1,0,0,0,0.6845471059286886
0.121,0.00601856107827381,1,0,0,0,0.6891138083873485
0.122,-0.15888984540458742,1,0,0,0,0.6936533058128049
0.123,0.2983606329142432,1,0,0,0,0.6981654189934726
0.124,0.2207128196006436,1,0,0,0,0.7026499697988492
0.125,-0.08541836334944294,1,0,0,0,0.7071067811865475
0.126,0.04225256076993608,1,0,0,0,0.7115356772092853
0.127,-0.26003784932140905,1,0,0,0,0.7159364830218311
0.128,-0.27936313597907547,1,0,0,0,0.7203090248879068
0.129,-0.14190159482193604,1,0,0,0,0.7246531301870467
0.13,-0.07590461947546223,1,0,0,0,0.7289686274214116
0.131,-0.39365552814268734,1,0,0,0,0.73325534622256
0.132,-0.06681554132683001,1,0,0,0,0.7375131173581739
0.133,0.13842099039289837,1,0,0,0,0.7417417727387392
0.134,0.30184552446922386,1,0,0,0,0.7459411454241821
0.135,0.30748452638521295,1,0,0,0,0.7501110696304596
0.136,-0.08206169437034055,1,0,0,0,0.7542513807361038
0.137,-0.010172863494871745,1,0,0,0,0.7583619152887219
0.138,0.108346404691498,1,0,0,0,0.7624425110114479
0.139,-0.053466781222995335,1,0,0,0,0.7664930068093498
0.14,0.4660346471244284,1,0,0,0,0.7705132427757893
0.14100000000000001,0.18428582181467615,1,0,0,0,0.7745030601987338
0.14200000000000002,0.04773179525385682,1,0,0,0,0.7784623015670235
0.14300000000000002,0.17817093251067426,1,0,0,0,0.7823908105765881
0.14400000000000002,0.07233593647784606,1,0,0,0,0.7862884321366189
0.145,-0.19093134814214313,1,0,0,0,0.7901550123756903
0.146,-0.05106352990873955,1,0,0,0,0.7939903986478353
0.147,-0.22446854574303865,1,0,0,0,0.797794439538571
0.148,-0.3166848854572488,1,0,0,0,0.8015669848708765
0.149,-0.3596483305768251,1,0,0,0,0.8053078857111219
0.15,-0.33535666648573403,1,0,0,0,0.8090169943749475
0.151,0.5761534677142093,1,0,0,0,0.812694164433094
0.152,0.39413861307748066,1,0,0,0,0.8163392507171839
0.153,-0.26416668623680933,1,0,0,0,0.8199521093254523
0.154,0.2571508817630531,1,0,0,0,0.8235325976284275
0.155,-0.08077657364188486,1,0,0,0,0.8270805742745618
0.156,0.27869480899205984,1,0,0,0,0.8305958991958126
0.157,0.14148553126681263,1,0,0,0,0.8340784336131712
0.158,-0.14547577696655314,1,0,0,0,0.8375280400421417
0.159,0.6445661972765273,1,0,0,0,0.840944582298169
0.16,0.3624981340266813,1,0,0,0,0.8443279255020151
0.161,-0.04345415339007212,1,0,0,0,0.8476779360850831
0.162,0.6120262243792405,1,0,0,0,0.8509944817946918
0.163,0.1923411758056458,1,0,0,0,0.8542774316992952
0.164,0.13075005651480495,1,0,0,0,0.8575266561936523
0.165,0.12805031667001726,1,0,0,0,0.8607420270039436
0.166,0.25519355033305424,1,0,0,0,0.8639234171928353
0.167,0.26611222172851046,1,0,0,0,0.86707070116449
0.168,0.21242640368811072,1,0,0,0,0.8701837546695257
0.169,-0.022776929414724117,1,0,0,0,0.8732624548099202
0.17,0.3160470211932396,1,0,0,0,0.8763066800438637
0.171,-0.12540659302336488,1,0,0,0,0.8793163101905562
0.17200000000000001,0.6497109391795659,1,0,0,0,0.8822912264349533
0.17300000000000001,-0.19329171862019895,1,0,0,0,0.8852313113324553
0.17400000000000002,0.05500303814601268,1,0,0,0,0.8881364488135446
0.17500000000000002,0.6447765254719482,1,0,0,0,0.8910065241883679
0.176,0.3751465250066648,1,0,0,0,0.8938414241512637
0.177,-0.11220875554531512,1,0,0,0,0.8966410367852358
0.178,-0.17298369929448612,1,0,0,0,0.899405251566371
0.179,0.0028208293241695492,1,0,0,0,0.9021339593682028
0.18,-0.1403743775572671,1,0,0,0,0.9048270524660196
0.181,0.14983668118373666,1,0,0,0,0.9074844245411169
0.182,0.05718403221119764,1,0,0,0,0.9101059706849957
0.183,-0.027252193974703576,1,0,0,0,0.9126915874035028
0.184,0.596611451058646,1,0,0,0,0.9152411726209175
0.185,-0.08739588327408358,1,0,0,0,0.9177546256839811
0.186,0.045696281601298794,1,0,0,0,0.9202318473658703
0.187,0.07582471013175457,1,0,0,0,0.9226727398701148
0.188,0.3279822819933679,1,0,0,0,0.925077206834458
0.189,-0.2635045568025553,1,0,0,0,0.9274451533346614
0.19,0.1354517006132266,1,0,0,0,0.9297764858882513
0.191,0.06658289370936948,1,0,0,0,0.932071112458211
